DATAFLOW,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BE,2011,78.0,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BE,2012,77.8,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BE,2013,78.1,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BE,2014,78.8,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BE,2015,78.7,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BE,2016,79.0,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BE,2017,79.2,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BE,2018,79.4,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BG,2010,70.3,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BG,2011,70.7,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BG,2012,70.9,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BG,2013,71.3,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BG,2014,71.1,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BG,2015,71.2,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BG,2016,71.3,b
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BG,2017,71.4,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,BG,2018,71.5,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CH,2010,80.3,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CH,2011,80.5,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CH,2012,80.6,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CH,2013,80.7,b
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CH,2014,81.1,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CH,2015,80.8,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CH,2016,81.7,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CH,2017,81.6,
